jUCf,FpPMUiwXLDA,"[2, 7, 437, 1155]",
5ACf,Q2-M-jvr3iI,"[6, 8]",
zyCf,hhya0MY_wUE,[8],
9mCf,hiB_aYMlTNA,"[468, 635, 3782]","[{'text': 'the clear fingerprint of an asteroid', 'start': 1.129, 'duration': 6.821}, {'text': 'there must have been some perfect', 'start': 5.48, 'duration': 4.36}, {'text': 'morning before the asteroid impact when', 'start': 7.95, 'duration': 3.54}, {'text': 'the land of the dinosaurs was still very', 'start': 9.84, 'duration': 3.15}, {'text': 'much as it had been for millions of', 'start': 11.49, 'duration': 3.51}, {'text': 'years then there would be something', 'start': 12.99, 'duration': 3.9}, {'text': 'sighted up in the sky something very', 'start': 15.0, 'duration': 6.57}, {'text': 'bright very hot the asteroid is six', 'start': 16.89, 'duration': 9.12}, {'text': 'miles long big enough to devastate the', 'start': 21.57, 'duration': 6.89}, {'text': 'planet', 'start': 26.01, 'duration': 2.45}, {'text': 'the asteroid that came in and formed', 'start': 28.47, 'duration': 4.32}, {'text': 'this layer here was very massive and was', 'start': 30.39, 'duration': 4.86}, {'text': 'moving very fast and so when it impacted', 'start': 32.79, 'duration': 4.41}, {'text': 'the earth that energy was turned into', 'start': 35.25, 'duration': 6.5}, {'text': 'boom very very big boom', 'start': 37.2, 'duration': 4.55}, {'text': 'it has the force of five billion', 'start': 43.18, 'duration': 7.44}, {'text': 'Hiroshima bombs large pieces of earth', 'start': 46.38, 'duration': 9.79}, {'text': 'blow out into space then rain back down', 'start': 50.62, 'duration': 12.84}, {'text': 'a storm of fireballs wildfires rage', 'start': 56.17, 'duration': 10.49}, {'text': 'across the globe', 'start': 63.46, 'duration': 3.2}, {'text': '[Music]', 'start': 66.98, 'duration': 5.179}, {'text': 'in the KT boundary layer is the layer of', 'start': 69.56, 'duration': 5.97}, {'text': ""soot and that's an indication that there"", 'start': 72.159, 'duration': 5.89}, {'text': 'were global fires that everything on', 'start': 75.53, 'duration': 4.71}, {'text': 'earth was basically on fire when after', 'start': 78.049, 'duration': 7.141}, {'text': 'this happened the earth plunges into', 'start': 80.24, 'duration': 7.519}, {'text': 'darkness', 'start': 85.19, 'duration': 2.569}, {'text': 'an impact winter mass extinction', 'start': 87.97, 'duration': 6.77}, {'text': 'basically you can think of this as every', 'start': 94.81, 'duration': 3.93}, {'text': 'environmental catastrophe all happening', 'start': 96.82, 'duration': 3.93}, {'text': 'at the same time it was an incredibly', 'start': 98.74, 'duration': 5.28}, {'text': 'bad day for planet Earth a chilling', 'start': 100.75, 'duration': 5.82}, {'text': 'reminder of the threat from space', 'start': 104.02, 'duration': 4.79}, {'text': '[Music]', 'start': 106.57, 'duration': 8.37}, {'text': 'asteroids this big will hit us again we', 'start': 108.81, 'duration': 9.04}, {'text': 'will go the way the dinosaurs we will be', 'start': 114.94, 'duration': 5.429}, {'text': 'survived most likely by the bugs the', 'start': 117.85, 'duration': 5.07}, {'text': 'cockroaches may will be the ones who', 'start': 120.369, 'duration': 5.491}, {'text': 'will inherit this earth but hopefully', 'start': 122.92, 'duration': 5.03}, {'text': ""that's going to be a long time from now"", 'start': 125.86, 'duration': 6.53}, {'text': 'is mankind doomed', 'start': 127.95, 'duration': 7.16}, {'text': 'or can we dodge fate', 'start': 132.39, 'duration': 6.409}, {'text': '[Music]', 'start': 135.11, 'duration': 3.689}]"
gsCf,glUGcdCAQZI,"[0, 1, 183, 488, 1889]",
TgCf,glDYW2EiNho,"[0, 12]",
lJCf,muBHd3mkXzE,"[0, 2999]",
CNCf,YjfmqDZANcw,"[0, 1, 5, 81, 108, 1113, 1270, 3269]",
RpCf,Yof0gSeHu_s,[14],
uPCf,ohG0gsHOXQM,"[8, 225]",
6OCf,ojfwMrD3viI,"[0, 1, 5, 69, 84, 169, 476, 2121]",
WbCf,kR8j9SsJy0s,"[3, 4, 6, 13]",
ZPCf,kg0QLGb5tok,"[12, 237]",
xsCf,_EqpN_xadgA,"[11, 1017]",
tRCf,kwfpm0xABMA,"[18, 497, 862]","[{'text': 'hey guys this is hailey from Winona is', 'start': 0.03, 'duration': 4.11}, {'text': ""calm and today I'm going to be showing"", 'start': 2.129, 'duration': 4.201}, {'text': 'you how I built the addition onto my', 'start': 4.14, 'duration': 4.62}, {'text': 'rabbits cage', 'start': 6.33, 'duration': 5.07}, {'text': 'what I used for the wall of my cage is', 'start': 8.76, 'duration': 6.24}, {'text': 'this pine log then what we did is cut it', 'start': 11.4, 'duration': 6.42}, {'text': 'so that the log was in half then we', 'start': 15.0, 'duration': 5.64}, {'text': 'started building the base of the new', 'start': 17.82, 'duration': 5.4}, {'text': 'cage and as you can see here we drew a', 'start': 20.64, 'duration': 6.17}, {'text': 'line where we have to cut the plywood', 'start': 23.22, 'duration': 3.59}, {'text': 'then we measured and cut the linoleum', 'start': 28.73, 'duration': 4.889}, {'text': 'we used some linoleum adhesive to apply', 'start': 34.79, 'duration': 10.51}, {'text': 'the linoleum to the plywood and this is', 'start': 38.76, 'duration': 7.95}, {'text': 'what it looks like when we were done', 'start': 45.3, 'duration': 4.62}, {'text': 'putting on the linoleum adhesive then we', 'start': 46.71, 'duration': 5.849}, {'text': 'took our linoleum put it in place and', 'start': 49.92, 'duration': 8.52}, {'text': 'rolled it across the plywood then it was', 'start': 52.559, 'duration': 11.221}, {'text': 'time to put the trim on so we just cut', 'start': 58.44, 'duration': 12.75}, {'text': 'the trim to size and attached it with a', 'start': 63.78, 'duration': 10.01}, {'text': 'staple gun', 'start': 71.19, 'duration': 2.6}, {'text': 'then we screwed boards onto the wall for', 'start': 109.939, 'duration': 5.61}, {'text': 'the shelves to sit on', 'start': 112.77, 'duration': 2.779}, {'text': 'and here is what it looks like so far', 'start': 116.509, 'duration': 6.481}, {'text': 'what we did is we added this - I do', 'start': 130.28, 'duration': 5.91}, {'text': 'piece of wood that goes and connects to', 'start': 132.8, 'duration': 5.85}, {'text': 'the logs so that is very sturdy then on', 'start': 136.19, 'duration': 4.47}, {'text': 'the other side we just have a 2 by 2', 'start': 138.65, 'duration': 5.1}, {'text': 'post that rests on the floor and this is', 'start': 140.66, 'duration': 7.26}, {'text': 'what it looks like here we are putting', 'start': 143.75, 'duration': 15.18}, {'text': 'in the Shelf once we add our shelf in we', 'start': 147.92, 'duration': 13.23}, {'text': 'went ahead and cocked the edges so that', 'start': 158.93, 'duration': 4.98}, {'text': 'if any pea or water got spilt it would', 'start': 161.15, 'duration': 8.7}, {'text': 'not leak onto the floor and here are the', 'start': 163.91, 'duration': 8.16}, {'text': 'is the corner braces for the corner', 'start': 169.85, 'duration': 8.37}, {'text': 'shelf and here we are putting it in we', 'start': 172.07, 'duration': 8.73}, {'text': 'had a little bit of difficulty putting', 'start': 178.22, 'duration': 10.08}, {'text': 'it in but we finally got it at last now', 'start': 180.8, 'duration': 10.88}, {'text': 'to cut the trim for the ramp', 'start': 188.3, 'duration': 3.38}, {'text': 'after that we applied glue to the edges', 'start': 191.86, 'duration': 12.52}, {'text': 'of the trip then we stapled the board in', 'start': 195.2, 'duration': 17.69}, {'text': 'place then measured and cut the rungs', 'start': 204.38, 'duration': 8.51}, {'text': 'and here we are stapling them in place', 'start': 215.989, 'duration': 5.33}, {'text': 'we used hinges to attach the ramp to the', 'start': 225.969, 'duration': 5.981}, {'text': 'base of the cage so that it was easily', 'start': 229.67, 'duration': 8.129}, {'text': 'liftable for cleaning and this is the', 'start': 231.95, 'duration': 14.849}, {'text': ""finished product and this is the bunny's"", 'start': 237.799, 'duration': 14.451}, {'text': 'first look at their brand new edition', 'start': 246.799, 'duration': 5.451}, {'text': 'Hey', 'start': 282.42, 'duration': 3.0}]"
UTCf,LDn6sNxXOkg,"[1, 245]","[{'text': 'so what sort of game is let it die i', 'start': 3.62, 'duration': 5.439}, {'text': 'mean we saw a very short trailer it', 'start': 7.2, 'duration': 6.359}, {'text': 'looks very violent lots of damage points', 'start': 9.059, 'duration': 6.571}, {'text': ""floating over people's heads I mean what"", 'start': 13.559, 'duration': 5.97}, {'text': 'sort of game is it may appoint wash nah', 'start': 15.63, 'duration': 10.05}, {'text': 'its R&D go toe-to-toe ah survivor de la', 'start': 19.529, 'duration': 9.811}, {'text': 'us submitted agin sources male 3 to die', 'start': 25.68, 'duration': 8.94}, {'text': 'today Matador syncytial habla y by del', 'start': 29.34, 'duration': 8.25}, {'text': 'amo maudite so no y la lleva la he know', 'start': 34.62, 'duration': 7.59}, {'text': 'Corky so DNT kno popped a total llamado', 'start': 37.59, 'duration': 8.719}, {'text': 'la survival against otis quinoa mas', 'start': 42.21, 'duration': 9.119}, {'text': 'precipitin 30 toasty from my prelab the', 'start': 46.309, 'duration': 9.041}, {'text': 'guild-house apierror a dude of verona v', 'start': 51.329, 'duration': 7.53}, {'text': 'cos omega k developed a solid aha baha', 'start': 55.35, 'duration': 8.639}, {'text': 'Bona samosa x vario ET noctem n 0 or na', 'start': 58.859, 'duration': 8.971}, {'text': 'mono ratio napintas mom most 02 a very', 'start': 63.989, 'duration': 6.06}, {'text': 'super chido chido you know when i give', 'start': 67.83, 'duration': 5.73}, {'text': 'so matter how to reverse or consignee', 'start': 70.049, 'duration': 7.621}, {'text': 'luciano day yokohama na today Bob Priya', 'start': 73.56, 'duration': 7.47}, {'text': ""no she's phenomenal Tyga see no chickie"", 'start': 77.67, 'duration': 6.989}, {'text': 'chickie solu- ha ha Bonnie Hawkins arte', 'start': 81.03, 'duration': 7.74}, {'text': 'es rossi do here a caribou Kuno Godfrey', 'start': 84.659, 'duration': 9.021}, {'text': 'hostess sinned up TRAI datarow Spano', 'start': 88.77, 'duration': 8.78}, {'text': ""today she'll give makhani difficulties"", 'start': 93.68, 'duration': 8.01}, {'text': 'total illustration you should get on', 'start': 97.55, 'duration': 8.75}, {'text': ""it's cool thank you stephanie chi de la"", 'start': 101.69, 'duration': 8.67}, {'text': 'vaca cool today allah oh yeah macaques', 'start': 106.3, 'duration': 6.79}, {'text': 'are no prey like a Sun Dupree haha no', 'start': 110.36, 'duration': 7.26}, {'text': ""sin da de da de da da Silva table Saba's"", 'start': 113.09, 'duration': 7.62}, {'text': 'encore bit ugly chicks are no', 'start': 117.62, 'duration': 6.81}, {'text': 'positioning up Cano pray adasi by Cano', 'start': 120.71, 'duration': 7.439}, {'text': 'see no polo 6r etta pray our date Agha', 'start': 124.43, 'duration': 6.66}, {'text': 'boku no gaming or a hardenable Monte', 'start': 128.149, 'duration': 5.821}, {'text': 'long given Bogota chinga chinga Soviet', 'start': 131.09, 'duration': 5.94}, {'text': 'emotes xrd para pocono priya guerra na', 'start': 133.97, 'duration': 7.53}, {'text': 'boku no traia datarow the enemy toss', 'start': 137.03, 'duration': 7.38}, {'text': 'everything so so when you die do you you', 'start': 141.5, 'duration': 4.68}, {'text': 'start back from zero and you start back', 'start': 144.41, 'duration': 9.57}, {'text': ""with nothing it's good though these"", 'start': 146.18, 'duration': 13.14}, {'text': 'people behind it hahaha SI no te gusta', 'start': 153.98, 'duration': 11.1}, {'text': ""ha ha no game yo ET la she's only sort"", 'start': 159.32, 'duration': 8.9}, {'text': 'of data tricky not equal down there', 'start': 165.08, 'duration': 7.4}, {'text': 'yasutora kisumu Daniken are like okay', 'start': 168.22, 'duration': 7.09}, {'text': 'fucking small Ethan on deck at all you', 'start': 172.48, 'duration': 5.44}, {'text': ""know occupied our lady Sudha you you've"", 'start': 175.31, 'duration': 6.21}, {'text': 'been known for making very stylish games', 'start': 177.92, 'duration': 6.569}, {'text': 'that have a lot of flair and action and', 'start': 181.52, 'duration': 6.06}, {'text': 'crazy characters and this this game just', 'start': 184.489, 'duration': 5.281}, {'text': 'from the brief trailer looked very very', 'start': 187.58, 'duration': 5.25}, {'text': ""dark and grim I'm just saying what's"", 'start': 189.77, 'duration': 5.969}, {'text': 'sort of what is your influence on this', 'start': 192.83, 'duration': 5.1}, {'text': 'game then', 'start': 195.739, 'duration': 4.711}, {'text': ""i'm at their far it's come up for some"", 'start': 197.93, 'duration': 4.85}, {'text': 'sort', 'start': 200.45, 'duration': 2.33}, {'text': 'picta to develop an even more suited', 'start': 205.39, 'duration': 8.02}, {'text': 'Navarre arisen even better because it', 'start': 208.97, 'duration': 7.23}, {'text': 'received no cervical cancer if Darcy', 'start': 213.41, 'duration': 6.63}, {'text': 'know the garbage taking the Russian', 'start': 216.2, 'duration': 7.53}, {'text': ""state commission I'd expected Roger at"", 'start': 220.04, 'duration': 7.01}, {'text': 'RC challenge ossification amo committed', 'start': 223.73, 'duration': 6.3}, {'text': 'most emotional because Delta watsonville', 'start': 227.05, 'duration': 4.28}, {'text': 'ominous', 'start': 230.03, 'duration': 5.59}, {'text': 'nada de navarra nos vemos ni gentle coo', 'start': 231.33, 'duration': 7.34}, {'text': 'coo coo coo Raghava', 'start': 235.62, 'duration': 9.64}, {'text': 'mahou monaco dano muak game system no', 'start': 238.67, 'duration': 12.84}, {'text': 'porque este ano de su de varville even', 'start': 245.26, 'duration': 8.41}, {'text': 'walk cigar got to meet this double team', 'start': 251.51, 'duration': 6.449}, {'text': ""you know ah don't wanna sit or instead"", 'start': 253.67, 'duration': 9.44}, {'text': 'of comity citrus what I hello impossible', 'start': 257.959, 'duration': 14.731}, {'text': 'madhava my boy haha GG para la otra well', 'start': 263.11, 'duration': 11.5}, {'text': 'and a lot of character a lot of the', 'start': 272.69, 'duration': 4.32}, {'text': ""games that you've made in the past have"", 'start': 274.61, 'duration': 4.98}, {'text': 'very iconic characters like like like', 'start': 277.01, 'duration': 5.159}, {'text': 'Travis touchdown and these characters', 'start': 279.59, 'duration': 6.15}, {'text': 'that are on the cover of the box is that', 'start': 282.169, 'duration': 6.211}, {'text': 'something you wanted this game or is', 'start': 285.74, 'duration': 4.47}, {'text': 'this more about players creating their', 'start': 288.38, 'duration': 11.37}, {'text': ""own characters hmm it's not just players"", 'start': 290.21, 'duration': 11.82}, {'text': 'dying death itself is a character so', 'start': 299.75, 'duration': 4.919}, {'text': ""that's that's really cool and the last"", 'start': 302.03, 'duration': 5.13}, {'text': ""thing and i'll go ahead talk to you out"", 'start': 304.669, 'duration': 5.091}, {'text': ""there if you're interviewing suit of 51"", 'start': 307.16, 'duration': 6.45}, {'text': 'always remember to look down and look at', 'start': 309.76, 'duration': 9.84}, {'text': ""his shoes because they're always amazing"", 'start': 313.61, 'duration': 5.99}]"
IjCf,LEcL-9BraXc,"[0, 1, 695]",
jlCf,WY5xwRr6uzU,"[6, 8]",
8hCf,2sL-aAplIFk,"[39, 121, 156, 202, 207, 233, 338, 393]","[{'text': '[Music]', 'start': 0.0, 'duration': 20.43}, {'text': 'this is what my frail little eyebrows', 'start': 17.6, 'duration': 4.689}, {'text': 'look like without any product on them', 'start': 20.43, 'duration': 4.019}, {'text': ""after years of tweezing they just don't"", 'start': 22.289, 'duration': 4.711}, {'text': ""wear out the same MO but they've already"", 'start': 24.449, 'duration': 4.32}, {'text': ""been tweeted and trimmed so I'm just"", 'start': 27.0, 'duration': 4.019}, {'text': 'gonna brush them upwards with this', 'start': 28.769, 'duration': 4.651}, {'text': 'groomer brush also known as a spoolie', 'start': 31.019, 'duration': 5.401}, {'text': 'and you can use your favorite brow', 'start': 33.42, 'duration': 4.95}, {'text': ""pencil I'm using kinosaki Beverly Hills"", 'start': 36.42, 'duration': 4.319}, {'text': ""brow Wiz and ebony it's double sided"", 'start': 38.37, 'duration': 3.93}, {'text': 'with the pencil I went in there spoolie', 'start': 40.739, 'duration': 5.211}, {'text': ""another and I'm just tracing the"", 'start': 42.3, 'duration': 6.36}, {'text': 'hairline of my brow starting at the', 'start': 45.95, 'duration': 5.019}, {'text': 'inner most point and following my', 'start': 48.66, 'duration': 5.82}, {'text': ""natural arc I'm staying right on the"", 'start': 50.969, 'duration': 7.351}, {'text': 'hairline almost a little bit below', 'start': 54.48, 'duration': 5.52}, {'text': 'because when I clean up I can clean up', 'start': 58.32, 'duration': 5.129}, {'text': ""right on the hairline and I'm starting a"", 'start': 60.0, 'duration': 6.96}, {'text': 'little further back on the top because I', 'start': 63.449, 'duration': 5.311}, {'text': 'like to leave the innermost part a', 'start': 66.96, 'duration': 4.019}, {'text': ""little lighter and I'm just following my"", 'start': 68.76, 'duration': 5.67}, {'text': 'arc down to the lowest point of my', 'start': 70.979, 'duration': 5.681}, {'text': 'natural brow', 'start': 74.43, 'duration': 6.29}, {'text': '[Music]', 'start': 76.66, 'duration': 4.06}, {'text': '[Music]', 'start': 85.32, 'duration': 3.7}, {'text': '[Music]', 'start': 91.23, 'duration': 4.81}, {'text': '[Music]', 'start': 99.75, 'duration': 26.18}, {'text': ""now I'm using a brown powder it's called"", 'start': 122.29, 'duration': 6.999}, {'text': ""Eddie and I'm using this to fill in the"", 'start': 125.93, 'duration': 6.0}, {'text': 'gap in my brow you could use the pencil', 'start': 129.289, 'duration': 4.441}, {'text': 'to do this but I kind of like to', 'start': 131.93, 'duration': 3.18}, {'text': 'conserve the can so a little bit so I', 'start': 133.73, 'duration': 3.839}, {'text': 'use a powder for this part and I use the', 'start': 135.11, 'duration': 5.16}, {'text': 'darkest shade from the middle to the end', 'start': 137.569, 'duration': 4.741}, {'text': 'tip of the brow and I try to blend the', 'start': 140.27, 'duration': 4.86}, {'text': 'lighter shades at the innermost part of', 'start': 142.31, 'duration': 4.68}, {'text': 'my brow sweeping upwards', 'start': 145.13, 'duration': 7.45}, {'text': '[Music]', 'start': 146.99, 'duration': 5.59}, {'text': '[Music]', 'start': 156.63, 'duration': 17.91}, {'text': ""to clean around my brows I'm using mac"", 'start': 171.95, 'duration': 5.14}, {'text': 'studio finish concealer this is the same', 'start': 174.54, 'duration': 5.07}, {'text': 'shade as their liquid foundation that I', 'start': 177.09, 'duration': 5.16}, {'text': ""used in C 50 I don't really like my brow"", 'start': 179.61, 'duration': 5.19}, {'text': 'highlight it so I use the same color as', 'start': 182.25, 'duration': 4.44}, {'text': ""my foundation and I'm just going right"", 'start': 184.8, 'duration': 4.71}, {'text': 'along my hairline with their 195 brush', 'start': 186.69, 'duration': 5.37}, {'text': ""it's flat and has a point at the end so"", 'start': 189.51, 'duration': 5.49}, {'text': ""it's easy to follow the curve of my brow"", 'start': 192.06, 'duration': 4.98}, {'text': ""and I'm just blending the product in"", 'start': 195.0, 'duration': 5.53}, {'text': 'underneath and around my brow area', 'start': 197.04, 'duration': 45.659}, {'text': '[Music]', 'start': 200.53, 'duration': 42.169}, {'text': 'when I clean the top of my brows I go a', 'start': 243.55, 'duration': 4.33}, {'text': 'little bit above the hairline as opposed', 'start': 246.14, 'duration': 4.5}, {'text': ""to the bottom just because I don't want"", 'start': 247.88, 'duration': 4.62}, {'text': 'them to look too thin so this helps me', 'start': 250.64, 'duration': 3.87}, {'text': 'control the thickness of it sometimes', 'start': 252.5, 'duration': 4.65}, {'text': ""I've seen up higher sometimes right on"", 'start': 254.51, 'duration': 4.289}, {'text': 'the line if I want to look thinner and', 'start': 257.15, 'duration': 3.839}, {'text': 'just really depends on the brow shape', 'start': 258.799, 'duration': 3.151}, {'text': ""you're going for it"", 'start': 260.989, 'duration': 3.061}, {'text': ""but um that's how you can control the"", 'start': 261.95, 'duration': 4.65}, {'text': 'thickness by how far down or up you', 'start': 264.05, 'duration': 5.73}, {'text': 'clean the top and if I send out the tip', 'start': 266.6, 'duration': 5.19}, {'text': 'a little bit sometimes I leave this area', 'start': 269.78, 'duration': 3.87}, {'text': 'thick sometimes thin it really is just', 'start': 271.79, 'duration': 4.56}, {'text': 'all about perfect but once you have your', 'start': 273.65, 'duration': 4.2}, {'text': 'desired shape you just want to make sure', 'start': 276.35, 'duration': 3.6}, {'text': 'your concealer is blended in by using', 'start': 277.85, 'duration': 5.75}, {'text': 'either the brush or your finger', 'start': 279.95, 'duration': 3.65}, {'text': '[Music]', 'start': 284.26, 'duration': 3.22}, {'text': '[Music]', 'start': 299.85, 'duration': 12.069}, {'text': '[Music]', 'start': 315.95, 'duration': 12.709}, {'text': 'one of the most important steps is to go', 'start': 325.62, 'duration': 5.41}, {'text': 'back in through spoolie and brush the', 'start': 328.659, 'duration': 4.38}, {'text': 'product into your hairs I concentrate a', 'start': 331.03, 'duration': 3.359}, {'text': 'little bit more in the innermost part', 'start': 333.039, 'duration': 2.88}, {'text': 'because like I said I like that a little', 'start': 334.389, 'duration': 3.661}, {'text': 'bit lighter so this is going to gently', 'start': 335.919, 'duration': 4.081}, {'text': 'lighten up the product and make them', 'start': 338.05, 'duration': 3.709}, {'text': 'look a little bit more natural and', 'start': 340.0, 'duration': 4.8}, {'text': ""lastly I'm using a brow gel some people"", 'start': 341.759, 'duration': 5.47}, {'text': 'use a brown wax in previous steps but I', 'start': 344.8, 'duration': 4.859}, {'text': 'just gently go over the hairs with this', 'start': 347.229, 'duration': 4.831}, {'text': ""brow gel you only need a little bit I'm"", 'start': 349.659, 'duration': 4.56}, {'text': 'just gently sweeping over them to make', 'start': 352.06, 'duration': 5.31}, {'text': 'my hairs stay in place all day and this', 'start': 354.219, 'duration': 5.19}, {'text': ""was the final look I didn't highlight"", 'start': 357.37, 'duration': 3.72}, {'text': 'our contour this is just foundation', 'start': 359.409, 'duration': 4.921}, {'text': 'powder blush lashes lipstick not too', 'start': 361.09, 'duration': 6.21}, {'text': 'much but thank you for watching I will', 'start': 364.33, 'duration': 5.339}, {'text': 'keep fulfilling your requests and please', 'start': 367.3, 'duration': 4.26}, {'text': 'like comment share subscribe and you can', 'start': 369.669, 'duration': 3.93}, {'text': 'also find makeup tips and more at my', 'start': 371.56, 'duration': 5.0}, {'text': 'blog in my SS Ellery com ma', 'start': 373.599, 'duration': 18.8}, {'text': '[Music]', 'start': 376.56, 'duration': 15.839}]"
OMCf,MBKs7KCddR0,"[2, 7]",
Q7Cf,XIdZIX2My9U,"[0, 961]",
kECf,,"[88, 307]",
TLCf,14K9mUrK_lY,[580],
49Cf,lRoJxqkVm6Q,"[242, 459]","[{'text': ""Besame Besame Mucho hey I'm i think"", 'start': 12.53, 'duration': 11.94}, {'text': 'Turkish I hear music divine', 'start': 21.33, 'duration': 3.14}, {'text': ""I'll hold me my darling and saying that"", 'start': 33.22, 'duration': 7.48}, {'text': ""you'll always be my this joy is"", 'start': 35.45, 'duration': 8.66}, {'text': 'something new my arms and folding you', 'start': 40.7, 'duration': 9.0}, {'text': 'never knew this thrill before who ever', 'start': 44.11, 'duration': 9.6}, {'text': ""thought I'd be holding you close to me"", 'start': 49.7, 'duration': 28.37}, {'text': 'whispering you is your chain Owen is us', 'start': 53.71, 'duration': 24.36}, {'text': 'ah base of a mucho never will I forget', 'start': 83.29, 'duration': 8.85}, {'text': 'his wonderful night in Old Mexico she', 'start': 87.82, 'duration': 7.65}, {'text': 'was a lovely chiquita my gold either my', 'start': 92.14, 'duration': 6.66}, {'text': ""exquisite ax she say I know you're very"", 'start': 95.47, 'duration': 7.35}, {'text': ""easy but I can't put your face I say you"", 'start': 98.8, 'duration': 6.81}, {'text': ""don't kiss because you love me she say"", 'start': 102.82, 'duration': 6.45}, {'text': ""you don't love me for Mary she's looking"", 'start': 105.61, 'duration': 6.81}, {'text': 'happy we do with a rose in her teeth and', 'start': 109.27, 'duration': 7.77}, {'text': 'four roses in her hand then I take my', 'start': 112.42, 'duration': 9.36}, {'text': 'guitar and I sing booze and me Buddhism', 'start': 117.04, 'duration': 8.579}, {'text': 'a mucho me corazon what does it mean she', 'start': 121.78, 'duration': 7.32}, {'text': 'say I say I wish you would give me a big', 'start': 125.619, 'duration': 7.881}, {'text': 'smack and she did', 'start': 129.1, 'duration': 4.4}, {'text': 'you', 'start': 137.819, 'duration': 2.06}]"
