7neO,sftK0ovEWRc,[12],"[{'text': 'as the season begins citytv are here to', 'start': 0.0, 'duration': 3.929}, {'text': 'talk you through all the numbers you', 'start': 2.46, 'duration': 3.39}, {'text': 'need to know when some you probably', 'start': 3.929, 'duration': 4.741}, {'text': ""don't 92 days will have passed since"", 'start': 5.85, 'duration': 4.65}, {'text': 'city last kicked a ball in the Premier', 'start': 8.67, 'duration': 3.12}, {'text': 'League when they line up against', 'start': 10.5, 'duration': 3.69}, {'text': 'Newcastle United since then the Blues', 'start': 11.79, 'duration': 4.38}, {'text': 'have signed for players in the shape of', 'start': 14.19, 'duration': 4.65}, {'text': 'fernandinho hisses novice Alvaro Negredo', 'start': 16.17, 'duration': 4.949}, {'text': 'and Stevan Jovetic and the first team', 'start': 18.84, 'duration': 4.08}, {'text': 'have taken in five different countries', 'start': 21.119, 'duration': 3.871}, {'text': 'on tour whilst the etihad has played', 'start': 22.92, 'duration': 4.64}, {'text': 'host upon jovi muse and Robbie Williams', 'start': 24.99, 'duration': 4.98}, {'text': 'the club look forward to working with', 'start': 27.56, 'duration': 4.299}, {'text': 'seven new partners that have teens up', 'start': 29.97, 'duration': 3.24}, {'text': 'with the Blues since the end of last', 'start': 31.859, 'duration': 3.781}, {'text': 'season city in the communities 50', 'start': 33.21, 'duration': 4.439}, {'text': 'members of staff will deliver 36', 'start': 35.64, 'duration': 5.82}, {'text': 'programs making 230,000 contacts in the', 'start': 37.649, 'duration': 6.18}, {'text': 'local area kittman less Chapman and his', 'start': 41.46, 'duration': 6.18}, {'text': 'team will clean 14,000 boots and 67,000', 'start': 43.829, 'duration': 6.781}, {'text': 'items of kids before any fans step foot', 'start': 47.64, 'duration': 4.98}, {'text': 'inside the Etihad Stadium on Monday', 'start': 50.61, 'duration': 3.69}, {'text': 'night the grand staff will have covered', 'start': 52.62, 'duration': 3.72}, {'text': '700 miles preparing the pitch for', 'start': 54.3, 'duration': 3.779}, {'text': 'kickoff they will have punched two', 'start': 56.34, 'duration': 4.019}, {'text': 'million aeration holes into the turf and', 'start': 58.079, 'duration': 4.98}, {'text': 'played half a ton of grass seed on the', 'start': 60.359, 'duration': 4.921}, {'text': 'pitch yaya toure will pass the ball more', 'start': 63.059, 'duration': 4.141}, {'text': 'than any other city player if he has a', 'start': 65.28, 'duration': 4.44}, {'text': 'season like last a total of two thousand', 'start': 67.2, 'duration': 5.73}, {'text': 'two hundred and forty five times this', 'start': 69.72, 'duration': 5.34}, {'text': 'season marks the 10-year anniversary of', 'start': 72.93, 'duration': 4.77}, {'text': 'the Blues at the Etihad Stadium at least', 'start': 75.06, 'duration': 5.489}, {'text': '1.1 million fans are expected to attend', 'start': 77.7, 'duration': 4.919}, {'text': 'with Colin technology being introduced', 'start': 80.549, 'duration': 4.291}, {'text': 'to all Premier League stevia and a total', 'start': 82.619, 'duration': 4.68}, {'text': 'of 14 cameras telling the referee if the', 'start': 84.84, 'duration': 5.04}, {'text': 'ball has crossed the line or not since', 'start': 87.299, 'duration': 4.351}, {'text': 'the full time whistle blew against', 'start': 89.88, 'duration': 3.449}, {'text': 'Norwich at the end of last season cut', 'start': 91.65, 'duration': 3.929}, {'text': 'photographers Sharon and Victoria have', 'start': 93.329, 'duration': 5.821}, {'text': 'snapped over 90,000 pictures City fans', 'start': 95.579, 'duration': 5.521}, {'text': 'are expected to spend a combined total', 'start': 99.15, 'duration': 6.03}, {'text': 'of 183 years watching City TV content on', 'start': 101.1, 'duration': 6.659}, {'text': ""MCFC dahcotah UK and the club's YouTube"", 'start': 105.18, 'duration': 4.74}, {'text': 'channel in that time you seen vault', 'start': 107.759, 'duration': 4.551}, {'text': 'could have run their 100 meters at least', 'start': 109.92, 'duration': 5.43}, {'text': '576 million times and Mo Farah could', 'start': 112.31, 'duration': 6.309}, {'text': 'compete in the 10,000 meters 3.5 million', 'start': 115.35, 'duration': 6.869}, {'text': 'times at MCFC will send out', 'start': 118.619, 'duration': 5.941}, {'text': 'approximately ten thousand tweets during', 'start': 122.219, 'duration': 5.371}, {'text': ""the 2013-14 season that's around two"", 'start': 124.56, 'duration': 5.429}, {'text': 'hundred thousand words four times more', 'start': 127.59, 'duration': 4.11}, {'text': ""than f scott Fitzgerald's The Great"", 'start': 129.989, 'duration': 2.851}, {'text': 'Gatsby more', 'start': 131.7, 'duration': 3.42}, {'text': 'tokens fellowship of the ring and more', 'start': 132.84, 'duration': 4.53}, {'text': ""than any of JK Rowling's Harry Potter"", 'start': 135.12, 'duration': 4.619}, {'text': 'offerings the Blues will be fighting for', 'start': 137.37, 'duration': 5.07}, {'text': 'the 114 points on offer in the Barclays', 'start': 139.739, 'duration': 4.741}, {'text': 'Premier League and will travel a total', 'start': 142.44, 'duration': 3.9}, {'text': 'of five thousand five hundred and ninety', 'start': 144.48, 'duration': 3.78}, {'text': 'miles going turned from the grinds in', 'start': 146.34, 'duration': 3.72}, {'text': 'that distance you could make it to the', 'start': 148.26, 'duration': 3.39}, {'text': 'North Pole and back from the Etihad', 'start': 150.06, 'duration': 4.679}, {'text': ""Stadium last season's Player of the Year"", 'start': 151.65, 'duration': 5.55}, {'text': 'Pablo Zabaleta is expected to need at', 'start': 154.739, 'duration': 5.371}, {'text': 'least 20 stitches during this term this', 'start': 157.2, 'duration': 5.25}, {'text': 'season the club will welcome over 3,000', 'start': 160.11, 'duration': 3.75}, {'text': 'members of the press to the Etihad', 'start': 162.45, 'duration': 4.05}, {'text': 'Stadium with a peppered steak pie so', 'start': 163.86, 'duration': 4.56}, {'text': ""what if we learned well we'll leave that"", 'start': 166.5, 'duration': 4.17}, {'text': ""to you but across the season we'll bring"", 'start': 168.42, 'duration': 4.349}, {'text': 'you more stats that you may or may not', 'start': 170.67, 'duration': 4.49}, {'text': 'need', 'start': 172.769, 'duration': 2.391}]"
IaeO,sfO_oc9CIdY,[1781],
EKeO,sgsKGELVUHo,"[1025, 2998]","[{'text': ""hi I'm Tamika and I'm Christy we're"", 'start': 4.1, 'duration': 4.51}, {'text': ""editors at Lowe's creative ideas"", 'start': 6.99, 'duration': 3.779}, {'text': 'magazine and today we have a fun easy', 'start': 8.61, 'duration': 4.439}, {'text': 'project that you can use in any room in', 'start': 10.769, 'duration': 3.811}, {'text': ""your home that's right today we're going"", 'start': 13.049, 'duration': 3.0}, {'text': 'to show you how to do your own mosaic', 'start': 14.58, 'duration': 3.3}, {'text': ""tile trivets so Kristin let's get"", 'start': 16.049, 'duration': 3.181}, {'text': ""started with the things we'll need to do"", 'start': 17.88, 'duration': 2.94}, {'text': ""the rock okay it's very simple"", 'start': 19.23, 'duration': 4.35}, {'text': ""you need some wood for today's purposes"", 'start': 20.82, 'duration': 5.91}, {'text': 'I brought some oak and some pine plywood', 'start': 23.58, 'duration': 5.4}, {'text': 'and they are very nicely cut did you do', 'start': 26.73, 'duration': 5.039}, {'text': ""that no I didn't however my friends at"", 'start': 28.98, 'duration': 4.349}, {'text': ""the Lowe's wood cutting department"", 'start': 31.769, 'duration': 2.79}, {'text': ""helped me out they're more than happy to"", 'start': 33.329, 'duration': 3.541}, {'text': 'do that so they did that for me I also', 'start': 34.559, 'duration': 4.831}, {'text': 'have some square tiles and some grout', 'start': 36.87, 'duration': 4.17}, {'text': ""there are some other items that you'll"", 'start': 39.39, 'duration': 3.18}, {'text': 'need to do the project but most of them', 'start': 41.04, 'duration': 2.91}, {'text': ""you'll probably have already in your"", 'start': 42.57, 'duration': 3.66}, {'text': ""unwind and design tool kit so let's get"", 'start': 43.95, 'duration': 4.08}, {'text': ""started okay the first step you're going"", 'start': 46.23, 'duration': 3.419}, {'text': 'to take your tiles put them in a bag', 'start': 48.03, 'duration': 3.9}, {'text': 'wrap them with a drop cloth take a', 'start': 49.649, 'duration': 4.201}, {'text': ""hammer here's the therapy part you get"", 'start': 51.93, 'duration': 3.24}, {'text': ""to break them it's a lot of fun right"", 'start': 53.85, 'duration': 2.49}, {'text': 'and then you end up with these really', 'start': 55.17, 'duration': 3.0}, {'text': ""cool shapes and that's what you want is"", 'start': 56.34, 'duration': 3.78}, {'text': ""a variety of shapes but that's what you"", 'start': 58.17, 'duration': 3.6}, {'text': ""end up with and you'll need to glue"", 'start': 60.12, 'duration': 4.079}, {'text': 'those on and I like to use a cordless', 'start': 61.77, 'duration': 5.279}, {'text': 'glue gun to put those on I also prefer', 'start': 64.199, 'duration': 6.001}, {'text': 'to put my glue right on to the tile', 'start': 67.049, 'duration': 7.11}, {'text': 'itself instead of onto the board and', 'start': 70.2, 'duration': 6.51}, {'text': 'just pick a spot any spot place it press', 'start': 74.159, 'duration': 4.621}, {'text': ""hold and you're dead now you will need"", 'start': 76.71, 'duration': 3.269}, {'text': ""to do that you'll need to cover the"", 'start': 78.78, 'duration': 2.94}, {'text': ""whole board and you're going to need to"", 'start': 79.979, 'duration': 3.421}, {'text': ""grout which we've already started this"", 'start': 81.72, 'duration': 3.66}, {'text': ""for but why don't you show them how to"", 'start': 83.4, 'duration': 3.69}, {'text': ""do this this step because it's very"", 'start': 85.38, 'duration': 4.14}, {'text': 'important something that I will point', 'start': 87.09, 'duration': 4.2}, {'text': 'out make sure when you when you get your', 'start': 89.52, 'duration': 3.209}, {'text': 'grout you get enough for everyone', 'start': 91.29, 'duration': 2.7}, {'text': ""because remember you're having a party"", 'start': 92.729, 'duration': 3.721}, {'text': 'so have one you know one bucket for', 'start': 93.99, 'duration': 4.62}, {'text': 'every two or three people that you have', 'start': 96.45, 'duration': 4.08}, {'text': 'with you now that I have my latex gloves', 'start': 98.61, 'duration': 4.5}, {'text': ""on I'm ready to grout and I'd like to"", 'start': 100.53, 'duration': 4.47}, {'text': ""use the margin float it's got a cushion"", 'start': 103.11, 'duration': 3.509}, {'text': 'to it but if you have a trial at home', 'start': 105.0, 'duration': 3.659}, {'text': ""it's okay to use that as well get a"", 'start': 106.619, 'duration': 4.801}, {'text': 'generous amount and press it into the', 'start': 108.659, 'duration': 7.261}, {'text': 'crevices and smooth like so you also', 'start': 111.42, 'duration': 5.97}, {'text': 'want to make sure you do the edges Oh', 'start': 115.92, 'duration': 3.75}, {'text': 'too because it finishes the project and', 'start': 117.39, 'duration': 4.29}, {'text': 'gives it a really nice look on the edges', 'start': 119.67, 'duration': 3.9}, {'text': ""exactly now we don't stop here what"", 'start': 121.68, 'duration': 3.78}, {'text': ""we're going to do next is you're going"", 'start': 123.57, 'duration': 3.93}, {'text': ""to dampen a sponge and you're going to"", 'start': 125.46, 'duration': 3.48}, {'text': ""move in one direction and you're"", 'start': 127.5, 'duration': 3.69}, {'text': 'going to clean it off any excess you can', 'start': 128.94, 'duration': 5.19}, {'text': 'also take just a household rag and clean', 'start': 131.19, 'duration': 5.28}, {'text': ""it and it's that simple that's it and"", 'start': 134.13, 'duration': 4.11}, {'text': 'what you get at the end is a beautiful', 'start': 136.47, 'duration': 4.11}, {'text': 'finished piece here that I love these', 'start': 138.24, 'duration': 4.92}, {'text': 'and I use them all over like you said my', 'start': 140.58, 'duration': 4.14}, {'text': ""bathroom I've got one for my morning cup"", 'start': 143.16, 'duration': 3.75}, {'text': ""of coffee and they're really neat you"", 'start': 144.72, 'duration': 4.5}, {'text': 'can do that and make sure to protect', 'start': 146.91, 'duration': 4.95}, {'text': 'those countertops get some felt pads and', 'start': 149.22, 'duration': 4.8}, {'text': ""put them on the back it's really that"", 'start': 151.86, 'duration': 4.26}, {'text': 'simple you know we do fun projects every', 'start': 154.02, 'duration': 3.54}, {'text': ""month so check it out it's at Lowe's"", 'start': 156.12, 'duration': 4.73}, {'text': 'creative ideas com', 'start': 157.56, 'duration': 3.29}]"
CLeO,6ZPs1ZCDl84,"[50, 1042, 2660]",
cUeO,6mYMOJvz08M,"[0, 1, 1607]",
sqeO,E4SCA3IgVWc,"[64, 113, 119, 475]",
TreO,auM6mipUKuk,"[61, 599, 1059]","[{'text': 'hello guys this is DJ ties and I want to', 'start': 0.14, 'duration': 6.04}, {'text': 'give you a demo about my pioneer djm 700', 'start': 3.3, 'duration': 6.24}, {'text': ""mixer let's start from the top here I"", 'start': 6.18, 'duration': 7.47}, {'text': 'have four channels 1 2 3 and 4 I have', 'start': 9.54, 'duration': 7.26}, {'text': 'high meet and low high meet and level', 'start': 13.65, 'duration': 6.81}, {'text': 'high meet in love I meet a low so these', 'start': 16.8, 'duration': 8.61}, {'text': ""are the four child's okay down here it's"", 'start': 20.46, 'duration': 11.09}, {'text': 'Joan one gel to jump 30 for and the', 'start': 25.41, 'duration': 10.52}, {'text': 'master and this one is for that fax', 'start': 31.55, 'duration': 9.689}, {'text': 'inside the crossfader channel 1 John 2', 'start': 35.93, 'duration': 11.74}, {'text': 'channel 3 channel 4 and down here ok', 'start': 41.239, 'duration': 12.48}, {'text': ""let's move it download it down here it's"", 'start': 47.67, 'duration': 10.77}, {'text': ""the cross fader and this light here it's"", 'start': 53.719, 'duration': 10.66}, {'text': ""for the effects it means that it's ready"", 'start': 58.44, 'duration': 11.01}, {'text': ""to use the facts ok let's go back up"", 'start': 64.379, 'duration': 13.17}, {'text': 'here alright so this right here is for', 'start': 69.45, 'duration': 15.47}, {'text': ""the facts ok let's try go right there"", 'start': 77.549, 'duration': 13.081}, {'text': ""okay right about there let's let's zoom"", 'start': 84.92, 'duration': 10.8}, {'text': 'it ok make it clear adjust the Lance', 'start': 90.63, 'duration': 10.919}, {'text': 'make it clear okay right there so i have', 'start': 95.72, 'duration': 13.32}, {'text': 'delay echo trans filter flanger phaser', 'start': 101.549, 'duration': 15.691}, {'text': 'reverb robot crush role etc etc ok so', 'start': 109.04, 'duration': 12.16}, {'text': 'these are the facts all right', 'start': 117.24, 'duration': 11.48}, {'text': ""so let's go up here right here is my"", 'start': 121.2, 'duration': 14.7}, {'text': 'this is my pioneer okay right there this', 'start': 128.72, 'duration': 13.739}, {'text': ""is my pioneer CDJ 1000 all right let's"", 'start': 135.9, 'duration': 9.72}, {'text': ""adjust it so you can see it it's right"", 'start': 142.459, 'duration': 13.121}, {'text': 'there okay pioneer CDJ 1000 mk2 very', 'start': 145.62, 'duration': 16.26}, {'text': 'nice CD player mixer the new one came', 'start': 155.58, 'duration': 11.46}, {'text': 'out pioneer cdj-2000 which is better', 'start': 161.88, 'duration': 8.13}, {'text': ""than this one but still because it's our"", 'start': 167.04, 'duration': 9.029}, {'text': ""pioneer and lets you have pioneer you're"", 'start': 170.01, 'duration': 9.0}, {'text': ""gonna know the difference okay so let's"", 'start': 176.069, 'duration': 7.291}, {'text': ""go back down we're all right right out"", 'start': 179.01, 'duration': 9.24}, {'text': ""there okay I'm going to play a track for"", 'start': 183.36, 'duration': 8.4}, {'text': 'you and we can use a little facts and', 'start': 188.25, 'duration': 11.01}, {'text': 'show you this pioneer djm 700 right', 'start': 191.76, 'duration': 11.96}, {'text': 'there forward it', 'start': 199.26, 'duration': 4.46}, {'text': 'very easily flex plate hours to', 'start': 215.689, 'duration': 16.38}, {'text': 'this act them quicker longer baby', 'start': 237.68, 'duration': 17.94}, {'text': 'Bluebird robot crush right where the', 'start': 248.109, 'duration': 9.78}, {'text': ""fuck's"", 'start': 255.62, 'duration': 2.269}, {'text': 'so once again this is a pioneer djm 700', 'start': 263.92, 'duration': 10.41}, {'text': 'and put a peep few people out there my', 'start': 268.27, 'duration': 7.65}, {'text': 'advice to you guys if you have extra', 'start': 274.33, 'duration': 4.77}, {'text': ""money get the pioneer it's gonna cost"", 'start': 275.92, 'duration': 8.16}, {'text': ""you a little bit no money but it's worth"", 'start': 279.1, 'duration': 8.33}, {'text': ""it you don't have to be getting down so"", 'start': 284.08, 'duration': 11.34}, {'text': 'once again this is TJ pine thank you for', 'start': 287.43, 'duration': 13.11}, {'text': 'watching practice and enjoy peace', 'start': 295.42, 'duration': 5.12}]"
BxeO,b6OiZec-Urk,"[0, 1, 215]",
CEeO,zaXQmTYd2gI,[81],"[{'text': 'hey guys is crazy 55 just pack', 'start': 0.0, 'duration': 3.75}, {'text': ""everything for you i'm quite into"", 'start': 2.22, 'duration': 3.84}, {'text': ""japanese stuff at the moment so i'm a"", 'start': 3.75, 'duration': 4.23}, {'text': ""little break from revising I've got four"", 'start': 6.06, 'duration': 5.49}, {'text': ""base set Japanese packs it's open so"", 'start': 7.98, 'duration': 6.0}, {'text': ""let's get started I actually got five"", 'start': 11.55, 'duration': 7.71}, {'text': ""but I'm keeping one so yeah let's hope"", 'start': 13.98, 'duration': 13.32}, {'text': 'the good please okay so this is the', 'start': 19.26, 'duration': 9.72}, {'text': ""hollow so I'm going to put that the back"", 'start': 27.3, 'duration': 4.53}, {'text': ""or whatever the rare so I'm just going"", 'start': 28.98, 'duration': 7.11}, {'text': 'to hold it like this so um I believe', 'start': 31.83, 'duration': 8.94}, {'text': 'this is pocus under thing machak magma', 'start': 36.09, 'duration': 13.08}, {'text': 'oops bill coo pikachu poliwag gust of', 'start': 40.77, 'duration': 18.449}, {'text': 'wind onyx sandshrew oh oh my god oh my', 'start': 49.17, 'duration': 13.43}, {'text': 'god I was epic you guys just saw this', 'start': 59.219, 'duration': 9.241}, {'text': 'yay sorry um epic pull Japanese', 'start': 62.6, 'duration': 7.48}, {'text': 'Charizard hollow this is not for trade', 'start': 68.46, 'duration': 3.9}, {'text': ""I'm sorry but it's cuz I pulled it from"", 'start': 70.08, 'duration': 3.6}, {'text': ""a pack and it's completely mint"", 'start': 72.36, 'duration': 5.22}, {'text': 'condition oh my god oh my god i believe', 'start': 73.68, 'duration': 5.88}, {'text': 'shame in 1991 pulled on and she freaked', 'start': 77.58, 'duration': 4.77}, {'text': 'out as well this is epic it looks so', 'start': 79.56, 'duration': 8.22}, {'text': ""nice that's a good pull next time I'm"", 'start': 82.35, 'duration': 7.11}, {'text': 'really hoping for deep loss though so', 'start': 87.78, 'duration': 5.31}, {'text': ""that's the main one I'm looking for"", 'start': 89.46, 'duration': 7.44}, {'text': 'because you know i love Blastoise but', 'start': 93.09, 'duration': 8.73}, {'text': 'any holler is good so we have removal I', 'start': 96.9, 'duration': 9.78}, {'text': 'believe Pikachu growlithe poliwag star', 'start': 101.82, 'duration': 9.5}, {'text': 'you whoops Raticate piglet potion', 'start': 106.68, 'duration': 7.799}, {'text': ""haunter cool very hollow haven't got"", 'start': 111.32, 'duration': 6.689}, {'text': 'this one sir nice', 'start': 114.479, 'duration': 3.53}, {'text': ""thanks Pat but the one I saved doesn't"", 'start': 120.99, 'duration': 6.61}, {'text': 'have the blastoise if it does anything', 'start': 125.56, 'duration': 4.38}, {'text': 'less is cool but I kind of want to open', 'start': 127.6, 'duration': 5.21}, {'text': 'and put into the top food and stuff so', 'start': 129.94, 'duration': 10.79}, {'text': 'the rail hollow so we have a raticate', 'start': 132.81, 'duration': 13.08}, {'text': 'Professor Oak item find or something', 'start': 140.73, 'duration': 9.58}, {'text': 'Machop removal I believe Charmander do', 'start': 145.89, 'duration': 10.14}, {'text': 'do a votive lastly how that sucks oh', 'start': 150.31, 'duration': 9.33}, {'text': ""well it's a rare so I guess not every"", 'start': 156.03, 'duration': 6.1}, {'text': ""pack has a hollow but don't know what"", 'start': 159.64, 'duration': 6.36}, {'text': ""that is I'll keep it let me see which"", 'start': 162.13, 'duration': 14.18}, {'text': 'pair colorful this one I see what path', 'start': 166.0, 'duration': 15.9}, {'text': 'seal paliwal meet arena trainer potion', 'start': 176.31, 'duration': 12.25}, {'text': 'wheedle dojo of Onyx switch so you Anna', 'start': 181.9, 'duration': 10.29}, {'text': 'Magneton on sweet so free hollows out of', 'start': 188.56, 'duration': 4.98}, {'text': 'four packs I guess you would get a hold', 'start': 192.19, 'duration': 3.54}, {'text': 'on every pack but the hollow ratio is a', 'start': 193.54, 'duration': 8.539}, {'text': 'pretty good so I got magnets on hollow a', 'start': 195.73, 'duration': 10.229}, {'text': 'trainer car number what this is clefairy', 'start': 202.079, 'duration': 6.341}, {'text': 'hollow and the best pool of all was', 'start': 205.959, 'duration': 9.691}, {'text': 'Charizard epicness oh yeah I love', 'start': 208.42, 'duration': 10.14}, {'text': 'opening these packs for some reason they', 'start': 215.65, 'duration': 7.05}, {'text': 'just so old school but yeah expect these', 'start': 218.56, 'duration': 7.26}, {'text': 'now and then I guess so very awesome', 'start': 222.7, 'duration': 7.349}, {'text': 'pose please comment below rate the video', 'start': 225.82, 'duration': 7.35}, {'text': 'and or like it whatever and subscribe if', 'start': 230.049, 'duration': 5.371}, {'text': ""you haven't I should have a box opening"", 'start': 233.17, 'duration': 5.31}, {'text': 'soon but remember i probably made these', 'start': 235.42, 'duration': 5.069}, {'text': 'videos like a week before I uploaded so', 'start': 238.48, 'duration': 6.24}, {'text': 'yeah exams coming up oh my god so yeah', 'start': 240.489, 'duration': 6.511}, {'text': ""if you guys got exams good luck you'll I"", 'start': 244.72, 'duration': 4.919}, {'text': 'know they come up soon in the summer I', 'start': 247.0, 'duration': 6.35}, {'text': ""know they're big but here see you guys"", 'start': 249.639, 'duration': 3.711}]"
6geO,iovGYNfTn9w,"[3, 6]",
0ReO,ip7yAIOl2LM,[61],
IAeO,B6uTLewZ8xA,"[0, 1, 25]",
eeeO,,[1302],
jyeO,TBMHAQfnJ58,"[0, 92]",
VPeO,ycmsbsG4S74,"[0, 1, 35, 134]","[{'text': 'hail-fellow-well-met', 'start': 2.51, 'duration': 3.0}, {'text': 'namaste', 'start': 7.309, 'duration': 3.0}, {'text': 'geez Karl my brother', 'start': 10.7, 'duration': 7.48}, {'text': 'hey truth were you were just checking', 'start': 14.57, 'duration': 5.65}, {'text': 'that you were no longer on government', 'start': 18.18, 'duration': 5.12}, {'text': 'business where is he', 'start': 20.22, 'duration': 5.67}, {'text': 'how the fuck would I know man you like', 'start': 23.3, 'duration': 6.7}, {'text': 'the devil hey man you okay everything is', 'start': 25.89, 'duration': 10.98}, {'text': ""transient oh man ah I'm passing through"", 'start': 30.0, 'duration': 11.04}, {'text': 'life same as every man okay do you have', 'start': 36.87, 'duration': 8.13}, {'text': ""any idea what you're doing for Torino no"", 'start': 41.04, 'duration': 6.21}, {'text': 'I seem to be on the need-to-know basis', 'start': 45.0, 'duration': 5.7}, {'text': ""oh no man two lies don't cancel each"", 'start': 47.25, 'duration': 6.57}, {'text': 'other out you know that we paid them to', 'start': 50.7, 'duration': 5.28}, {'text': 'lie to us is that what our founding', 'start': 53.82, 'duration': 5.129}, {'text': 'fathers wanted no more friend no more', 'start': 55.98, 'duration': 5.94}, {'text': ""we're not alone get off me man what's"", 'start': 58.949, 'duration': 5.971}, {'text': ""going on everything is going on don't"", 'start': 61.92, 'duration': 5.91}, {'text': ""you get it there's the place not even on"", 'start': 64.92, 'duration': 6.51}, {'text': 'the map a train is about to leave it can', 'start': 67.83, 'duration': 6.539}, {'text': 'explain better than I ever can boy this', 'start': 71.43, 'duration': 6.45}, {'text': 'is going to blow your fucking mind we', 'start': 74.369, 'duration': 5.61}, {'text': ""got work to do you better Drive I'll"", 'start': 77.88, 'duration': 6.95}, {'text': 'explain elegance does not even touch it', 'start': 79.979, 'duration': 4.851}, {'text': 'hey truth do we have a plan here go go', 'start': 91.13, 'duration': 8.22}, {'text': 'hey hold up two', 'start': 95.63, 'duration': 3.72}, {'text': 'oh dude then I here you go you better', 'start': 169.76, 'duration': 54.3}, {'text': 'stash it somewhere fast far out have a', 'start': 221.75, 'duration': 3.93}, {'text': 'nice trip dude a waiter', 'start': 224.06, 'duration': 4.019}, {'text': 'was it too much to ask to get a lift in', 'start': 225.68, 'duration': 4.729}, {'text': 'the town', 'start': 228.079, 'duration': 2.33}]"
