ZJba,IRPF5YdtK7I,"[5, 16, 1027, 1903]",
OiaE,VN3bqt84A0A,"[2, 17, 19, 30, 252, 544]",
PMaE,VNKotSMC5iA,"[432, 2400]","[{'text': 'so if your intermediate advanced instead', 'start': 0.38, 'duration': 5.979}, {'text': 'of doing the exercise on the mat what', 'start': 3.419, 'duration': 5.43}, {'text': 'you can do is add a medicine ball a', 'start': 6.359, 'duration': 6.871}, {'text': 'physio ball or a BOSU ball you can see', 'start': 8.849, 'duration': 7.021}, {'text': ""you back here so I'm gonna pretty much"", 'start': 13.23, 'duration': 5.4}, {'text': 'be showing those same exercises or some', 'start': 15.87, 'duration': 5.04}, {'text': 'of those exercises and the different', 'start': 18.63, 'duration': 12.989}, {'text': 'variations that you can do on going into', 'start': 20.91, 'duration': 19.79}, {'text': 'your plank here making it more advanced', 'start': 31.619, 'duration': 11.301}, {'text': 'bring your one or two inches forward', 'start': 40.7, 'duration': 4.81}, {'text': 'okay want to bring that knee into the', 'start': 42.92, 'duration': 7.42}, {'text': 'chest like I show it on the map tight as', 'start': 45.51, 'duration': 6.09}, {'text': 'you can see my core is working really', 'start': 50.34, 'duration': 4.53}, {'text': 'hard here really contracting to try to', 'start': 51.6, 'duration': 6.02}, {'text': 'maintain my belt', 'start': 54.87, 'duration': 2.75}, {'text': 'same thing here just to let you guys can', 'start': 70.06, 'duration': 8.77}, {'text': ""see it I met it's involved okay"", 'start': 73.88, 'duration': 6.779}, {'text': 'you want you to write', 'start': 78.83, 'duration': 6.84}, {'text': 'leg up you can see my core is working', 'start': 80.659, 'duration': 7.681}, {'text': ""I'm trying very hard to to maintain this"", 'start': 85.67, 'duration': 6.269}, {'text': 'position without firing same thing here', 'start': 88.34, 'duration': 4.529}, {'text': 'if you want to bring that knee to the', 'start': 91.939, 'duration': 3.201}, {'text': 'chuck', 'start': 92.869, 'duration': 2.271}, {'text': 'and then here we are on the BOSU ball', 'start': 109.85, 'duration': 7.659}, {'text': 'turn the pail on your favorite okay same', 'start': 112.799, 'duration': 10.5}, {'text': 'thing you do a leg up make sure that', 'start': 117.509, 'duration': 7.231}, {'text': 'your hands are underneath the shoulders', 'start': 123.299, 'duration': 1.981}, {'text': 'thing', 'start': 124.74, 'duration': 4.049}, {'text': ""don't be holding it out here all right"", 'start': 125.28, 'duration': 5.69}, {'text': 'then we can do knee into the chest', 'start': 128.789, 'duration': 4.261}, {'text': ""don't forget to breathe expand the"", 'start': 130.97, 'duration': 4.65}, {'text': 'contraction', 'start': 133.05, 'duration': 2.57}, {'text': 'so those are a few options that you can', 'start': 144.94, 'duration': 5.43}, {'text': 'do the talent your quorum or sound some', 'start': 146.89, 'duration': 5.94}, {'text': 'variation to your planks nothing fancy', 'start': 150.37, 'duration': 4.32}, {'text': 'schmancy this month for our challenge to', 'start': 152.83, 'duration': 3.96}, {'text': 'you but basically our monthly challenges', 'start': 154.69, 'duration': 5.19}, {'text': 'is to push you guys to improve and what', 'start': 156.79, 'duration': 4.95}, {'text': ""you're doing to constantly challenge"", 'start': 159.88, 'duration': 3.27}, {'text': 'yourself eight so that you can continue', 'start': 161.74, 'duration': 4.77}, {'text': 'to get results so go out to the gym or', 'start': 163.15, 'duration': 6.0}, {'text': 'do it at home change up your plank make', 'start': 166.51, 'duration': 4.98}, {'text': 'it work a lot harder get a better sweat', 'start': 169.15, 'duration': 3.99}, {'text': ""going on and then we'll see how your"", 'start': 171.49, 'duration': 3.09}, {'text': ""results are all right we'll see you"", 'start': 173.14, 'duration': 3.95}, {'text': 'later bye', 'start': 174.58, 'duration': 2.51}]"
cVaE,RZEyxZVo0zU,[903],
AzaE,R_hKbzpMQtk,[3],
czaE,0nTU7Z9DPwI,[12],
1kaE,2oEFq2QAYhQ,"[0, 1, 219]",
5DaE,UlniS4Lip18,"[71, 152]",
y2aE,QAESkF3MXo0,"[0, 42, 111, 431]",
ngaE,,"[4, 13, 47, 330]",
F5aE,WGP-oMhSNh8,"[0, 241]",
mgaE,WNNS8JyUFIc,[0],
WvaE,WNU1QmRl90I,"[133, 630, 3688]","[{'text': 'the dr. Leonard Hofstadter', 'start': 0.77, 'duration': 4.63}, {'text': 'you are officially charged with two', 'start': 3.36, 'duration': 5.31}, {'text': 'violations of the roommate agreement do', 'start': 5.4, 'duration': 5.489}, {'text': 'you waive reading of the charges yeah', 'start': 8.67, 'duration': 3.63}, {'text': 'fine hang on', 'start': 10.889, 'duration': 3.96}, {'text': 'no my client does not waive reading of', 'start': 12.3, 'duration': 8.3}, {'text': ""the charges oh cool I've got a lawyer"", 'start': 14.849, 'duration': 5.751}, {'text': 'and us in there naked proceed very well', 'start': 21.14, 'duration': 10.389}, {'text': 'mm-hmm count the first on or about the', 'start': 27.9, 'duration': 5.94}, {'text': '28th day of April the accused did', 'start': 31.529, 'duration': 4.321}, {'text': 'knowingly and with malice aforethought', 'start': 33.84, 'duration': 4.469}, {'text': 'deny access to the shared bathroom in a', 'start': 35.85, 'duration': 4.979}, {'text': 'time of emergency to wit my back teeth', 'start': 38.309, 'duration': 6.331}, {'text': 'were floating count the second the', 'start': 40.829, 'duration': 5.611}, {'text': 'accused exceeded the agreed-upon', 'start': 44.64, 'duration': 5.31}, {'text': 'occupancy of the shower to wit 1 unless', 'start': 46.44, 'duration': 5.189}, {'text': 'we are under attack by water-soluble', 'start': 49.95, 'duration': 6.72}, {'text': 'aliens can I see the roommate agreement', 'start': 51.629, 'duration': 9.051}, {'text': ""um it's fairly technical"", 'start': 56.67, 'duration': 4.01}, {'text': 'I think I can handle it top of her class', 'start': 60.72, 'duration': 6.24}, {'text': 'Ambridge University license to practice', 'start': 64.2, 'duration': 7.1}, {'text': 'law in three countries and your face', 'start': 66.96, 'duration': 4.34}, {'text': 'all right based on a cursory reading it', 'start': 75.04, 'duration': 4.65}, {'text': ""doesn't look like you have much of a"", 'start': 78.37, 'duration': 6.36}, {'text': ""case Sheldon do so do so oh I'm afraid"", 'start': 79.69, 'duration': 7.89}, {'text': 'not section seven here on the right to', 'start': 84.73, 'duration': 4.17}, {'text': 'enter the bathroom in emergency', 'start': 87.58, 'duration': 3.48}, {'text': 'situations is not specific as to what', 'start': 88.9, 'duration': 4.14}, {'text': ""constitutes an emergency no that's"", 'start': 91.06, 'duration': 2.88}, {'text': 'ridiculous', 'start': 93.04, 'duration': 2.9}, {'text': 'a bathroom emergency is self-explanatory', 'start': 93.94, 'duration': 5.37}, {'text': 'is it if Leonard forgot to trim his nose', 'start': 95.94, 'duration': 5.11}, {'text': ""hell could he barge in while you're"", 'start': 99.31, 'duration': 3.93}, {'text': ""showering irrelevant Leonard doesn't"", 'start': 101.05, 'duration': 3.78}, {'text': 'trim his nose hair he thinks because', 'start': 103.24, 'duration': 5.03}, {'text': ""he's short nobody can see up there"", 'start': 104.83, 'duration': 3.44}, {'text': 'point is Sheldon the legal principle is', 'start': 111.22, 'duration': 4.44}, {'text': 'ambiguity in a contract benefits the', 'start': 113.59, 'duration': 3.81}, {'text': 'party that did not draft it in this case', 'start': 115.66, 'duration': 4.83}, {'text': 'Leonard so much for Gantt one but there', 'start': 117.4, 'duration': 4.83}, {'text': ""is no but Sheldon that's how that all"", 'start': 120.49, 'duration': 10.17}, {'text': 'works school as for the shower capacity', 'start': 122.23, 'duration': 11.43}, {'text': 'issue I cite addendum J when Sheldon', 'start': 130.66, 'duration': 4.86}, {'text': 'showers second any and all measures', 'start': 133.66, 'duration': 3.42}, {'text': 'shall be taken to ensure an adequate', 'start': 135.52, 'duration': 2.82}, {'text': 'supply of hot water', 'start': 137.08, 'duration': 3.54}, {'text': 'I believe this supersedes the occupancy', 'start': 138.34, 'duration': 6.23}, {'text': 'issue superseded', 'start': 140.62, 'duration': 3.95}]"
3EaE,Tz-iqQrmV1s,[41],
qMaE,TzT-zgKqSu0,"[0, 1, 159, 1419, 1773]",
pNaE,UD7o0rP19oE,"[11, 83, 601]",
vGaE,0KGWEv9Ecko,[3],
T9aE,r8Sxje9nRG8,[89],
fMaE,_tjk8At6kvM,"[6, 8]",
PnaE,_uYT9LsMzFY,[1903],
LkaE,7j04ZTuJfxA,[179],"[{'text': 'this is the afternoon weather extreme', 'start': 0.0, 'duration': 4.14}, {'text': 'video for Thursday the twenty-third of', 'start': 2.37, 'duration': 3.449}, {'text': 'August what is this thing going to do', 'start': 4.14, 'duration': 5.18}, {'text': 'called Isaac a westward shift in', 'start': 5.819, 'duration': 5.61}, {'text': 'modeling what does it mean what about', 'start': 9.32, 'duration': 3.729}, {'text': 'the threat to our Gulf Coast is it all', 'start': 11.429, 'duration': 2.88}, {'text': ""changed well let's get in there and talk"", 'start': 13.049, 'duration': 2.911}, {'text': ""about it that's what we do first off"", 'start': 14.309, 'duration': 3.451}, {'text': 'very quickly things are quiet beautiful', 'start': 15.96, 'duration': 3.899}, {'text': ""today that's our decatur Skycam"", 'start': 17.76, 'duration': 4.41}, {'text': 'overlooking the Tennessee River Selma', 'start': 19.859, 'duration': 4.731}, {'text': 'Skycam overlooking the Alabama River and', 'start': 22.17, 'duration': 5.34}, {'text': 'these are the folks that all of a sudden', 'start': 24.59, 'duration': 5.109}, {'text': 'are saying wait a minute now look like', 'start': 27.51, 'duration': 4.56}, {'text': 'we were okay about 24 hours ago but all', 'start': 29.699, 'duration': 4.531}, {'text': 'of a sudden some of the models are', 'start': 32.07, 'duration': 3.6}, {'text': 'trying to suggest that our friends in', 'start': 34.23, 'duration': 2.79}, {'text': 'the Gulf Coast there at Gulf Shores', 'start': 35.67, 'duration': 2.819}, {'text': 'might have to watch things more', 'start': 37.02, 'duration': 2.76}, {'text': 'carefully in coming days and I think', 'start': 38.489, 'duration': 3.871}, {'text': ""they will there's the current upper ear"", 'start': 39.78, 'duration': 4.08}, {'text': 'situation still got troughing here', 'start': 42.36, 'duration': 4.109}, {'text': ""across the southeastern states and it's"", 'start': 43.86, 'duration': 3.929}, {'text': 'awfully delightful look at those numbers', 'start': 46.469, 'duration': 2.731}, {'text': ""again today we're just having a hard"", 'start': 47.789, 'duration': 3.391}, {'text': 'time reaching 90 the guidance is way too', 'start': 49.2, 'duration': 4.47}, {'text': ""warm every day the model suggests we'll"", 'start': 51.18, 'duration': 5.37}, {'text': ""hit 90 and every day we don't we'll be"", 'start': 53.67, 'duration': 4.409}, {'text': ""close to it in coming days but I don't"", 'start': 56.55, 'duration': 3.12}, {'text': ""think it'll be as warm as those low 90s"", 'start': 58.079, 'duration': 3.78}, {'text': ""we're seeing on the guidance all right"", 'start': 59.67, 'duration': 4.739}, {'text': 'this is rain coming from the HPC guys', 'start': 61.859, 'duration': 5.641}, {'text': ""and they're showing nothing statewide I"", 'start': 64.409, 'duration': 4.771}, {'text': 'mean nothing at mobile or Gulf Shores', 'start': 67.5, 'duration': 3.659}, {'text': 'through Tuesday morning of next week but', 'start': 69.18, 'duration': 3.75}, {'text': 'this all depends on Isaac we know that', 'start': 71.159, 'duration': 4.171}, {'text': 'if Isaac takes the Florida peninsula', 'start': 72.93, 'duration': 5.46}, {'text': 'route west of tampa coming up towards', 'start': 75.33, 'duration': 5.25}, {'text': ""cedar key map elachi bay yeah we'll be"", 'start': 78.39, 'duration': 4.92}, {'text': 'on the dry side but that was based this', 'start': 80.58, 'duration': 4.71}, {'text': 'morning before the 12z model set came', 'start': 83.31, 'duration': 5.4}, {'text': ""out and there's the deal we got two"", 'start': 85.29, 'duration': 5.1}, {'text': 'systems now Joyce was upgraded this', 'start': 88.71, 'duration': 3.93}, {'text': ""morning and we'll talk about that in"", 'start': 90.39, 'duration': 3.689}, {'text': 'just a moment we got the new wave off', 'start': 92.64, 'duration': 3.42}, {'text': ""the coast of Africa and Isaac and here's"", 'start': 94.079, 'duration': 3.93}, {'text': ""part of the deal you know it's been"", 'start': 96.06, 'duration': 3.629}, {'text': 'really hard trying to get this thing', 'start': 98.009, 'duration': 3.691}, {'text': ""organized over the past 24 hours we've"", 'start': 99.689, 'duration': 3.991}, {'text': 'had different circulation centers it has', 'start': 101.7, 'duration': 4.26}, {'text': ""been very ill defined but finally we're"", 'start': 103.68, 'duration': 3.799}, {'text': 'starting to see evidence of a good', 'start': 105.96, 'duration': 5.189}, {'text': 'central circulation well to the south of', 'start': 107.479, 'duration': 6.46}, {'text': 'Puerto Rico farther south than models', 'start': 111.149, 'duration': 4.591}, {'text': 'have been using as an initialization', 'start': 113.939, 'duration': 4.801}, {'text': 'point in using that farther south', 'start': 115.74, 'duration': 5.339}, {'text': 'initialization of course that means the', 'start': 118.74, 'duration': 4.8}, {'text': 'farther west this thing could go and I', 'start': 121.079, 'duration': 3.871}, {'text': ""think that's the reason for the westward"", 'start': 123.54, 'duration': 3.78}, {'text': 'shift and it is very important to note', 'start': 124.95, 'duration': 5.699}, {'text': 'that the g4 gulf stream data will be', 'start': 127.32, 'duration': 5.13}, {'text': 'ingested this evening now whether it', 'start': 130.649, 'duration': 3.091}, {'text': 'makes the OSI model set', 'start': 132.45, 'duration': 2.88}, {'text': ""I don't know but it will make the 12z"", 'start': 133.74, 'duration': 4.05}, {'text': 'model set tomorrow morning future model', 'start': 135.33, 'duration': 4.59}, {'text': 'runs will have much better data keep in', 'start': 137.79, 'duration': 3.33}, {'text': ""mind they don't launch weather balloons"", 'start': 139.92, 'duration': 2.79}, {'text': 'in the Caribbean out there in the middle', 'start': 141.12, 'duration': 3.75}, {'text': 'of nowhere but with this data the', 'start': 142.71, 'duration': 4.08}, {'text': 'modeling will be much much better so', 'start': 144.87, 'duration': 3.48}, {'text': ""don't need to panic over one big"", 'start': 146.79, 'duration': 3.54}, {'text': ""westward shift here now let's take a"", 'start': 148.35, 'duration': 3.81}, {'text': 'look these are the tropical models and', 'start': 150.33, 'duration': 4.14}, {'text': 'you can clearly see the shift and many', 'start': 152.16, 'duration': 4.08}, {'text': 'of this guidance is suggesting the', 'start': 154.47, 'duration': 3.42}, {'text': 'Florida Panhandle could have a problem', 'start': 156.24, 'duration': 5.16}, {'text': 'in about five days the GFS ensembles', 'start': 157.89, 'duration': 7.65}, {'text': 'have also shifted to the west with many', 'start': 161.4, 'duration': 5.28}, {'text': 'of the members coming in over the', 'start': 165.54, 'duration': 5.94}, {'text': ""Florida Panhandle we'll check the name"", 'start': 166.68, 'duration': 6.78}, {'text': ""it's been a big outlier to the east and"", 'start': 171.48, 'duration': 3.45}, {'text': 'still is and keep in mind the name only', 'start': 173.46, 'duration': 3.45}, {'text': 'goes out to 84 hours this is actually', 'start': 174.93, 'duration': 4.95}, {'text': 'valid here sunday evening at seven', 'start': 176.91, 'duration': 5.16}, {'text': ""o'clock central time it's got the thing"", 'start': 179.88, 'duration': 5.61}, {'text': ""near Miami let's look at the gfs it"", 'start': 182.07, 'duration': 8.34}, {'text': 'brings it into pensacola late tuesday', 'start': 185.49, 'duration': 6.3}, {'text': 'night of next week this is after', 'start': 190.41, 'duration': 3.15}, {'text': 'midnight Tuesday night early Wednesday', 'start': 191.79, 'duration': 5.31}, {'text': 'morning and of course everybody around', 'start': 193.56, 'duration': 7.32}, {'text': 'here goes whoa Europeans just gone nuts', 'start': 197.1, 'duration': 5.7}, {'text': ""it's so far west it's it's almost too"", 'start': 200.88, 'duration': 5.79}, {'text': 'what Lake Charles Louisiana next', 'start': 202.8, 'duration': 6.72}, {'text': 'Thursday and again it has been a clear', 'start': 206.67, 'duration': 4.89}, {'text': 'outlier to the left like the name has', 'start': 209.52, 'duration': 4.71}, {'text': 'been an outlier to the right and the', 'start': 211.56, 'duration': 5.73}, {'text': 'Canadian has adjusted a little bit to', 'start': 214.23, 'duration': 4.59}, {'text': ""the west it's got it coming in toward"", 'start': 217.29, 'duration': 4.5}, {'text': 'Cedar Key and Tallahassee this is monday', 'start': 218.82, 'duration': 5.91}, {'text': 'night of next week and again that is in', 'start': 221.79, 'duration': 4.68}, {'text': 'line with our original ideas but even', 'start': 224.73, 'duration': 5.82}, {'text': 'that is a little farther to the west and', 'start': 226.47, 'duration': 7.32}, {'text': 'logs based on the 12z data still got', 'start': 230.55, 'duration': 4.53}, {'text': 'some that wanted make it a goal or a', 'start': 233.79, 'duration': 3.18}, {'text': 'lenten an East Coast storm couple it', 'start': 235.08, 'duration': 4.35}, {'text': 'bring it across the Gulf but again and', 'start': 236.97, 'duration': 4.77}, {'text': 'you know this thing is just not been', 'start': 239.43, 'duration': 3.75}, {'text': ""organized it's part of the problem we"", 'start': 241.74, 'duration': 2.91}, {'text': ""know we're trying to peg this thing when"", 'start': 243.18, 'duration': 3.42}, {'text': ""it's just so disorganized but I think in"", 'start': 244.65, 'duration': 3.42}, {'text': 'the next 24 hours this thing will be', 'start': 246.6, 'duration': 3.48}, {'text': 'much more clear in terms of the', 'start': 248.07, 'duration': 4.44}, {'text': 'intensity forecast this is the guidance', 'start': 250.08, 'duration': 4.01}, {'text': 'coming off the tropical models and', 'start': 252.51, 'duration': 3.599}, {'text': ""really they're not very bullish on"", 'start': 254.09, 'duration': 3.64}, {'text': 'intensification and needless to say a', 'start': 256.109, 'duration': 2.611}, {'text': 'lot of this will depend on the', 'start': 257.73, 'duration': 3.479}, {'text': 'interaction if any now with Hispaniola', 'start': 258.72, 'duration': 5.1}, {'text': 'the farther south initialization means', 'start': 261.209, 'duration': 4.141}, {'text': 'that it could avoid those big mountains', 'start': 263.82, 'duration': 3.05}, {'text': 'and just go over Cuba', 'start': 265.35, 'duration': 2.93}, {'text': 'and that would open the door for a', 'start': 266.87, 'duration': 3.329}, {'text': 'problem this could really blow up in the', 'start': 268.28, 'duration': 4.77}, {'text': 'Gulf if it does not go over Hispaniola', 'start': 270.199, 'duration': 4.231}, {'text': 'and it stays west of the Florida', 'start': 273.05, 'duration': 4.47}, {'text': 'peninsula and it could be a major', 'start': 274.43, 'duration': 5.4}, {'text': ""hurricane let's look at the official"", 'start': 277.52, 'duration': 5.55}, {'text': 'track from the Hurricane Center and they', 'start': 279.83, 'duration': 5.19}, {'text': ""have not changed much they've got it a"", 'start': 283.07, 'duration': 3.659}, {'text': 'little west of tampa bay tuesday morning', 'start': 285.02, 'duration': 3.119}, {'text': ""of next week at eight o'clock eastern"", 'start': 286.729, 'duration': 4.231}, {'text': 'time the cone of uncertainty extends up', 'start': 288.139, 'duration': 7.621}, {'text': 'to pensacola but again I stress you know', 'start': 290.96, 'duration': 6.6}, {'text': ""we're in a great period of uncertainty"", 'start': 295.76, 'duration': 4.56}, {'text': 'here in within the next 24 hours by this', 'start': 297.56, 'duration': 4.74}, {'text': 'time tomorrow will be much more', 'start': 300.32, 'duration': 4.59}, {'text': ""confident all right there's TD Tanner i"", 'start': 302.3, 'duration': 4.679}, {'text': ""say TD tennis joyce now that's the"", 'start': 304.91, 'duration': 4.44}, {'text': ""system behind isaac notice it's higher"", 'start': 306.979, 'duration': 4.56}, {'text': ""in latitude that'll be a recurring storm"", 'start': 309.35, 'duration': 4.65}, {'text': 'may be close to Bermuda but not', 'start': 311.539, 'duration': 4.321}, {'text': ""affecting the United States let's go"", 'start': 314.0, 'duration': 3.889}, {'text': 'through the operational gfs this is the', 'start': 315.86, 'duration': 4.08}, {'text': ""12-0 run ballot at one o'clock tomorrow"", 'start': 317.889, 'duration': 4.81}, {'text': 'afternoon you can see a weakness here', 'start': 319.94, 'duration': 4.289}, {'text': 'across the southeastern states in the', 'start': 322.699, 'duration': 3.961}, {'text': ""588 ridge that's that's nice the nice"", 'start': 324.229, 'duration': 4.291}, {'text': ""trough we've had four days giving us the"", 'start': 326.66, 'duration': 3.629}, {'text': 'nice cool air should be a bright sunny', 'start': 328.52, 'duration': 4.26}, {'text': 'day maybe 90 upper 80s tomorrow in the', 'start': 330.289, 'duration': 5.161}, {'text': 'guidance is too warm all right saturday', 'start': 332.78, 'duration': 4.92}, {'text': 'we might mention a slight chance of a', 'start': 335.45, 'duration': 4.08}, {'text': 'shower but I think most everybody stays', 'start': 337.7, 'duration': 6.36}, {'text': 'dry the GFS has Isaac over Cuba Sunday', 'start': 339.53, 'duration': 8.13}, {'text': 'Isaac is on the north coast of Cuba and', 'start': 344.06, 'duration': 5.1}, {'text': 'again interaction with the island is', 'start': 347.66, 'duration': 3.36}, {'text': 'going to be important if it stays over', 'start': 349.16, 'duration': 4.14}, {'text': ""Cuba 24 hours it'll be a somewhat weaker"", 'start': 351.02, 'duration': 5.91}, {'text': ""maybe not a lot we're dry sunday will go"", 'start': 353.3, 'duration': 7.32}, {'text': 'to monday the GFS has Isaac just', 'start': 356.93, 'duration': 6.51}, {'text': ""northwest of Key West we're dry as a"", 'start': 360.62, 'duration': 4.799}, {'text': ""bone if that's right monday we'd be in"", 'start': 363.44, 'duration': 3.57}, {'text': 'the subsidence ring the sinking air', 'start': 365.419, 'duration': 3.661}, {'text': 'around the periphery of that thing will', 'start': 367.01, 'duration': 4.71}, {'text': 'go to Tuesday 594 heat is over the four', 'start': 369.08, 'duration': 5.309}, {'text': 'corners trough to the north and that', 'start': 371.72, 'duration': 4.29}, {'text': 'things should be pulling north and the', 'start': 374.389, 'duration': 4.051}, {'text': 'GFS again has it just south of Destin', 'start': 376.01, 'duration': 5.339}, {'text': 'and on Wednesday its inland with the', 'start': 378.44, 'duration': 6.12}, {'text': 'center near Dothan or Geneva in', 'start': 381.349, 'duration': 5.491}, {'text': 'southeast Alabama remember the wet side', 'start': 384.56, 'duration': 3.69}, {'text': 'is going to be the east side but', 'start': 386.84, 'duration': 2.88}, {'text': 'obviously if that comes up into', 'start': 388.25, 'duration': 4.34}, {'text': 'southeast Alabama at least the', 'start': 389.72, 'duration': 5.16}, {'text': 'southeastern half of Alabama should get', 'start': 392.59, 'duration': 5.319}, {'text': 'a big soaking there Thursday just kind', 'start': 394.88, 'duration': 4.589}, {'text': ""of sits there it's a week from today and"", 'start': 397.909, 'duration': 2.251}, {'text': 'Friday next', 'start': 399.469, 'duration': 2.071}, {'text': 'friday it still just kind of sits there', 'start': 400.16, 'duration': 3.51}, {'text': ""so again there's a whole lot of"", 'start': 401.54, 'duration': 4.32}, {'text': ""uncertainty here we're anxiously"", 'start': 403.67, 'duration': 5.61}, {'text': 'awaiting the Gulfstream upper air data', 'start': 405.86, 'duration': 5.04}, {'text': 'that will be ingested in these models', 'start': 409.28, 'duration': 3.63}, {'text': 'soon to make them much better and I like', 'start': 410.9, 'duration': 3.78}, {'text': 'I often talk about you know what you', 'start': 412.91, 'duration': 3.12}, {'text': 'need to get these things off into the', 'start': 414.68, 'duration': 3.54}, {'text': 'American upper air network in the winter', 'start': 416.03, 'duration': 4.56}, {'text': ""for a gift good read and what's going to"", 'start': 418.22, 'duration': 3.45}, {'text': 'happen in the same thing with the', 'start': 420.59, 'duration': 2.76}, {'text': ""tropics there's no balloon launches out"", 'start': 421.67, 'duration': 3.3}, {'text': 'there and then in the middle of the', 'start': 423.35, 'duration': 3.69}, {'text': 'tropical oceans will check the end of', 'start': 424.97, 'duration': 5.73}, {'text': ""the forecast September eighth that's"", 'start': 427.04, 'duration': 5.7}, {'text': 'about what September looks like kind of', 'start': 430.7, 'duration': 4.08}, {'text': 'a moderate westerly flow in some type of', 'start': 432.74, 'duration': 4.71}, {'text': 'tropical system passing east and a', 'start': 434.78, 'duration': 4.32}, {'text': 'recurring track out there but again this', 'start': 437.45, 'duration': 3.0}, {'text': 'is all out there in the land of Voodoo', 'start': 439.1, 'duration': 2.94}, {'text': ""that's it for the weather extreme video"", 'start': 440.45, 'duration': 3.21}, {'text': 'this afternoon notes on the blog next', 'start': 442.04, 'duration': 3.12}, {'text': ""video here by seven o'clock tomorrow"", 'start': 443.66, 'duration': 3.87}, {'text': 'morning and if you can watch ABC 30 30', 'start': 445.16, 'duration': 3.72}, {'text': '40 news on the live stream of the', 'start': 447.53, 'duration': 3.42}, {'text': 'television side at four five six and ten', 'start': 448.88, 'duration': 3.63}, {'text': 'thanks for watching have a great evening', 'start': 450.95, 'duration': 4.4}, {'text': 'and God bless', 'start': 452.51, 'duration': 2.84}, {'text': 'right swimming', 'start': 462.18, 'duration': 2.9}]"
